x,t,u
26.5625,5.7,-1.04110469965
28.125,5.7,-1.18036142401
29.6875,5.7,0.0650822024807
31.25,5.7,1.04781165178
32.8125,5.7,2.36838819556
34.375,5.7,0.125192858498
35.9375,5.7,-1.98502802219
37.5,5.7,-0.35065817425
39.0625,5.7,0.515836215202
40.625,5.7,2.04269659608
42.1875,5.7,0.935073016748
43.75,5.7,-1.49738339671
45.3125,5.7,-1.12606028621
46.875,5.7,-0.0955324552848
48.4375,5.7,0.0786421327354
0,5.71,0.437844634962
1.5625,5.71,1.71893980217
3.125,5.71,1.6217800836
4.6875,5.71,-0.707303811893
6.25,5.71,-1.18989444719
7.8125,5.71,-0.22660100478
9.375,5.71,0.23245997261
10.9375,5.71,0.853055366187
12.5,5.71,1.8511540205
14.0625,5.71,0.666516213652
15.625,5.71,-1.1123138984
17.1875,5.71,-0.436848063861
18.75,5.71,0.220771055679
20.3125,5.71,0.491235770712
21.875,5.71,0.690679874483
23.4375,5.71,1.78340378477
25,5.71,1.10940097086
26.5625,5.71,-1.04149918831
28.125,5.71,-1.18370055348
